sim_time, big_dog?world_pose/orientation/pitch
206.793, -0.00977603
206.794, -0.00980014
206.795, -0.00982546
206.796, -0.00985205
206.797, -0.00987989
206.798, -0.0099106
206.799, -0.00994387
206.8, -0.00997964
206.801, -0.0100179
206.802, -0.0100585
206.803, -0.0101016
206.804, -0.0101471
206.805, -0.010195
206.806, -0.0102452
206.807, -0.0102978
206.808, -0.0103526
206.809, -0.0104098
206.81, -0.0104692
206.811, -0.0105308
206.812, -0.0105946
206.813, -0.0106607
206.814, -0.0107289
206.815, -0.0107992
206.816, -0.0108715
206.817, -0.0109459
206.818, -0.0110223
206.819, -0.0111008
206.82, -0.0111815
206.821, -0.0112645
206.822, -0.0113498
206.823, -0.0114352
206.824, -0.0115209
206.825, -0.0116069
206.826, -0.0116933
206.827, -0.0117798
206.828, -0.0118667
206.829, -0.0119538
206.83, -0.0120411
206.831, -0.0121287
206.832, -0.0122166
206.833, -0.0123047
206.834, -0.0123933
206.835, -0.0124821
206.836, -0.0125712
206.837, -0.0126606
206.838, -0.0127502
206.839, -0.0128402
206.84, -0.0129306
206.841, -0.0130212
206.842, -0.0131122
206.843, -0.0132035
206.844, -0.0132951
206.845, -0.013387
206.846, -0.0134793
206.847, -0.0135719
206.848, -0.0136649
206.849, -0.0137582
206.85, -0.0138522
206.851, -0.0139464
206.852, -0.014041
206.853, -0.0141357
206.854, -0.0142308
206.855, -0.014326
206.856, -0.0144198
206.857, -0.0145123
206.858, -0.0146038
206.859, -0.0146943
206.86, -0.0147839
206.861, -0.0148726
206.862, -0.0149605
206.863, -0.0150476
206.864, -0.0151338
206.865, -0.0152193
206.866, -0.0153039
206.867, -0.0153575
206.868, -0.0153825
206.869, -0.0154093
206.87, -0.015435
206.871, -0.0154601
206.872, -0.0154848
206.873, -0.0155085
206.874, -0.0155305
206.875, -0.015551
206.876, -0.0155703
206.877, -0.015589
206.878, -0.0156072
206.879, -0.015618
206.88, -0.0156112
206.881, -0.0155881
206.882, -0.0155502
206.883, -0.0154989
206.884, -0.0154355
206.885, -0.0153613
206.886, -0.0152776
206.887, -0.0151854
206.888, -0.0150859
206.889, -0.0149799
206.89, -0.0148685
206.891, -0.0147601
206.892, -0.0146418
206.893, -0.014507
206.894, -0.0143557
206.895, -0.0141874
206.896, -0.0140023
206.897, -0.0137996
206.898, -0.0135795
206.899, -0.0133422
206.9, -0.0130876
206.901, -0.0128156
206.902, -0.0125264
206.903, -0.0122197
206.904, -0.0119034
206.905, -0.0115766
206.906, -0.0112359
206.907, -0.0108887
206.908, -0.0105383
206.909, -0.0101859
206.91, -0.00983152
206.911, -0.00947552
206.912, -0.00911768
206.913, -0.00875785
206.914, -0.00839591
