sim_time, big_dog?world_angular_velocity/y
207.021, -0.0864661
207.022, -0.0897923
207.023, -0.0930953
207.024, -0.096376
207.025, -0.0996349
207.026, -0.102873
207.027, -0.10609
207.028, -0.109287
207.029, -0.107106
207.03, -0.104766
207.031, -0.10297
207.032, -0.101377
207.033, -0.0999052
207.034, -0.0985164
207.035, -0.0971874
207.036, -0.0959035
207.037, -0.0943716
207.038, -0.0929261
207.039, -0.0915471
207.04, -0.090221
207.041, -0.0892098
207.042, -0.0878707
207.043, -0.0897715
207.044, -0.0910507
207.045, -0.0918327
207.046, -0.0922204
207.047, -0.0922036
207.048, -0.0919561
207.049, -0.0914703
207.05, -0.0908505
207.051, -0.0901253
207.052, -0.0893176
207.053, -0.0884458
207.054, -0.0875247
207.055, -0.0864684
207.056, -0.0854027
207.057, -0.0813729
207.058, -0.077678
207.059, -0.0741291
207.06, -0.0705922
207.061, -0.0671126
207.062, -0.0636711
207.063, -0.0602618
207.064, -0.0568832
207.065, -0.0535354
207.066, -0.0502185
207.067, -0.046933
207.068, -0.0438033
207.069, -0.0411991
207.07, -0.0378607
207.071, -0.0345754
207.072, -0.0313073
207.073, -0.0280783
207.074, -0.0248817
207.075, -0.0217243
207.076, -0.0186801
207.077, -0.0156142
207.078, -0.0125834
207.079, -0.00860693
207.08, -0.00484129
207.081, -0.00122448
207.082, 0.00226175
207.083, 0.00563156
207.084, 0.00889673
207.085, 0.0120673
207.086, 0.0151519
207.087, 0.0182946
207.088, 0.0214022
207.089, 0.0244025
207.09, 0.0273266
207.091, 0.0299991
207.092, 0.0326304
207.093, 0.0352202
207.094, 0.0377691
207.095, 0.0401429
207.096, 0.0425001
207.097, 0.0448379
207.098, 0.0471544
207.099, 0.0494477
207.1, 0.0517169
207.101, 0.053961
207.102, 0.0561795
207.103, 0.058372
207.104, 0.0605384
207.105, 0.0626788
207.106, 0.0647931
207.107, 0.0668816
207.108, 0.0689446
207.109, 0.0709823
207.11, 0.0729951
207.111, 0.0749834
207.112, 0.0769475
207.113, 0.0805559
207.114, 0.082961
207.115, 0.0840684
207.116, 0.0852188
207.117, 0.0864124
207.118, 0.087406
207.119, 0.0878531
207.12, 0.088473
207.121, 0.0892477
207.122, 0.0865496
207.123, 0.0842779
207.124, 0.0794537
207.125, 0.0747442
207.126, 0.0701084
207.127, 0.0660358
207.128, 0.0622186
207.129, 0.058868
207.13, 0.0559253
207.131, 0.0526409
207.132, 0.0497817
207.133, 0.0471653
207.134, 0.0448801
207.135, 0.0428819
207.136, 0.0411328
207.137, 0.0329816
207.138, 0.0176306
207.139, 0.00386298
207.14, -0.00855491
207.141, -0.019598
207.142, -0.029377
207.143, -0.0379994
207.144, -0.0395433
207.145, -0.0521156
207.146, -0.0686669
207.147, -0.0872366
207.148, -0.103651
207.149, -0.117385
207.15, -0.129886
207.151, -0.141738
207.152, -0.153156
207.153, -0.164118
207.154, -0.175209
207.155, -0.185997
207.156, -0.196505
207.157, -0.206754
207.158, -0.216763
207.159, -0.226547
207.16, -0.23598
207.161, -0.241736
207.162, -0.247818
207.163, -0.254172
207.164, -0.250501
207.165, -0.2484
207.166, -0.246775
207.167, -0.24559
207.168, -0.244652
207.169, -0.243919
207.17, -0.24379
207.171, -0.243753
207.172, -0.243795
207.173, -0.243906
207.174, -0.244288
207.175, -0.244898
207.176, -0.245496
207.177, -0.246084
207.178, -0.246662
207.179, -0.249691
207.18, -0.242782
207.181, -0.237203
207.182, -0.231825
207.183, -0.22659
207.184, -0.222141
207.185, -0.217694
207.186, -0.213255
207.187, -0.208827
207.188, -0.204601
207.189, -0.200727
207.19, -0.196797
207.191, -0.192912
207.192, -0.189071
207.193, -0.185185
207.194, -0.181437
207.195, -0.17764
207.196, -0.17389
207.197, -0.1701
207.198, -0.164072
207.199, -0.158151
207.2, -0.152302
207.201, -0.146836
207.202, -0.141373
207.203, -0.136076
207.204, -0.130771
207.205, -0.125469
207.206, -0.11818
207.207, -0.112388
207.208, -0.106801
207.209, -0.101881
207.21, -0.0970312
207.211, -0.0922503
207.212, -0.0876009
207.213, -0.0830039
207.214, -0.0785866
207.215, -0.0741978
207.216, -0.0698411
207.217, -0.0656423
207.218, -0.0614559
207.219, -0.0573475
207.22, -0.0532521
207.221, -0.0491753
207.222, -0.0451217
207.223, -0.0410949
207.224, -0.0417204
207.225, -0.0411359
207.226, -0.0406565
207.227, -0.0400131
207.228, -0.0392688
207.229, -0.0384627
207.23, -0.0376619
207.231, -0.0368083
207.232, -0.0360005
207.233, -0.0351419
207.234, -0.0334361
207.235, -0.0310937
207.236, -0.0290454
207.237, -0.0272453
207.238, -0.0256545
207.239, -0.024241
207.24, -0.022978
207.241, -0.0218427
207.242, -0.0208161
207.243, -0.019882
207.244, -0.0190268
207.245, -0.0182389
207.246, -0.0175088
207.247, -0.0171172
207.248, -0.0166855
207.249, -0.0161427
207.25, -0.0155205
207.251, -0.0150474
207.252, -0.0145751
207.253, -0.0141071
207.254, -0.0136457
207.255, -0.0131922
207.256, -0.0127476
207.257, -0.0119885
207.258, -0.011575
207.259, -0.011172
