sim_time, big_dog?world_pose/orientation/roll
208.782, -0.00273246
208.783, -0.00273105
208.784, -0.00272568
208.785, -0.00271643
208.786, -0.00270333
208.787, -0.00268624
208.788, -0.00266522
208.789, -0.00264033
208.79, -0.00261161
208.791, -0.00257828
208.792, -0.00254037
208.793, -0.002498
208.794, -0.00245093
208.795, -0.00239929
208.796, -0.00234319
208.797, -0.00228275
208.798, -0.00221771
208.799, -0.0021482
208.8, -0.00207433
208.801, -0.0019962
208.802, -0.00191391
208.803, -0.00182745
208.804, -0.00173692
208.805, -0.00164239
208.806, -0.00154393
208.807, -0.00144207
208.808, -0.00133684
208.809, -0.00122975
208.81, -0.00112028
208.811, -0.00100847
208.812, -0.000894245
208.813, -0.000777693
208.814, -0.000658896
208.815, -0.000537926
208.816, -0.000414848
208.817, -0.000289718
208.818, -0.000162591
208.819, -3.29232e-05
208.82, 9.91813e-05
208.821, 0.000233632
208.822, 0.000370345
208.823, 0.000509249
208.824, 0.000650482
208.825, 0.000793964
208.826, 0.00093962
208.827, 0.00108738
208.828, 0.00123587
208.829, 0.00138514
208.83, 0.00153526
208.831, 0.00168639
208.832, 0.00183856
208.833, 0.00199179
208.834, 0.00214609
208.835, 0.00230147
208.836, 0.00245795
208.837, 0.00261554
208.838, 0.00277424
208.839, 0.00293405
208.84, 0.00309499
208.841, 0.00325705
208.842, 0.00342024
208.843, 0.00358455
208.844, 0.00374999
208.845, 0.00391657
208.846, 0.00408428
208.847, 0.00425311
208.848, 0.00442308
208.849, 0.00459417
208.85, 0.0047664
208.851, 0.0049365
208.852, 0.0051049
208.853, 0.0052717
208.854, 0.00543689
208.855, 0.00560047
208.856, 0.00576241
208.857, 0.00592353
208.858, 0.00608375
208.859, 0.00624294
208.86, 0.00640099
208.861, 0.00655703
208.862, 0.00671112
208.863, 0.00686329
208.864, 0.00701357
208.865, 0.007162
208.866, 0.0073086
208.867, 0.0074534
208.868, 0.00759641
208.869, 0.00773792
208.87, 0.00787791
208.871, 0.0080164
208.872, 0.00815337
208.873, 0.00828892
208.874, 0.00842305
208.875, 0.00855574
208.876, 0.00868701
208.877, 0.00881685
208.878, 0.00894527
208.879, 0.00907226
208.88, 0.00919564
208.881, 0.00931439
208.882, 0.00942888
208.883, 0.00953921
208.884, 0.00964545
208.885, 0.00974762
208.886, 0.00984578
208.887, 0.00993999
208.888, 0.0100302
208.889, 0.0101166
208.89, 0.0101991
208.891, 0.0102778
208.892, 0.0103527
208.893, 0.0104239
208.894, 0.0104912
208.895, 0.0105547
208.896, 0.0106145
208.897, 0.0106706
208.898, 0.0107231
208.899, 0.0107719
208.9, 0.0108172
208.901, 0.010859
208.902, 0.0108973
208.903, 0.0109321
208.904, 0.0109634
208.905, 0.010991
208.906, 0.011015
208.907, 0.0110353
208.908, 0.0110521
208.909, 0.0110654
208.91, 0.0110757
208.911, 0.0110839
208.912, 0.0110899
208.913, 0.0110937
208.914, 0.0110954
208.915, 0.0110947
208.916, 0.0110915
208.917, 0.0110853
208.918, 0.0110771
208.919, 0.0110677
208.92, 0.0110569
208.921, 0.0110449
208.922, 0.0110321
208.923, 0.0110182
208.924, 0.0110043
208.925, 0.01099
208.926, 0.0109752
208.927, 0.0109597
208.928, 0.0109437
208.929, 0.0109273
208.93, 0.0109103
208.931, 0.0108928
208.932, 0.0108749
208.933, 0.0108565
208.934, 0.0108376
208.935, 0.0108172
208.936, 0.0107953
208.937, 0.0107672
208.938, 0.0107335
208.939, 0.0106948
208.94, 0.0106517
208.941, 0.0106045
208.942, 0.0105545
208.943, 0.0105019
208.944, 0.0104471
208.945, 0.0103903
208.946, 0.0103385
208.947, 0.010281
208.948, 0.0102151
208.949, 0.0101404
208.95, 0.0100535
208.951, 0.00995444
208.952, 0.00984324
208.953, 0.00971964
208.954, 0.00958371
208.955, 0.00943551
208.956, 0.00927508
208.957, 0.00910275
208.958, 0.00891444
208.959, 0.00871774
208.96, 0.00851616
208.961, 0.00831101
208.962, 0.00810266
208.963, 0.0078912
208.964, 0.00767666
208.965, 0.00745906
208.966, 0.00723804
208.967, 0.00701366
208.968, 0.00678598
208.969, 0.00655506
208.97, 0.00632093
208.971, 0.00608364
208.972, 0.00584322
208.973, 0.00559972
208.974, 0.00535315
208.975, 0.00510356
208.976, 0.00485096
208.977, 0.00459538
208.978, 0.00433935
208.979, 0.00408248
208.98, 0.00382467
208.981, 0.00356594
208.982, 0.00330633
208.983, 0.00304587
208.984, 0.00278458
208.985, 0.00252248
208.986, 0.00225958
208.987, 0.00199724
208.988, 0.00173535
208.989, 0.00147384
208.99, 0.00121255
208.991, 0.000951415
208.992, 0.00069037
208.993, 0.000429421
208.994, 0.000168371
208.995, -9.2821e-05
208.996, -0.00035419
208.997, -0.000615769
208.998, -0.000877589
208.999, -0.00113968
209, -0.00140207
209.001, -0.00166478
209.002, -0.00192784
209.003, -0.00219124
209.004, -0.00245506
209.005, -0.00271932
209.006, -0.00298403
209.007, -0.00324921
209.008, -0.00351488
209.009, -0.00378102
209.01, -0.0040477
209.011, -0.00431493
209.012, -0.00458273
209.013, -0.00485114
209.014, -0.00511915
